nohup: ignoring input
[1] order5big_0001: LINEAR (0.0s)  running={'LINEAR': 1}
[148] order5big_1177: THEOREM (60.2s)  running={'LINEAR': 78, 'THEOREM': 61, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[149] order5big_1185: LINEAR (0.0s)  running={'LINEAR': 79, 'THEOREM': 61, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[150] order5big_1193: LINEAR (0.0s)  running={'LINEAR': 80, 'THEOREM': 61, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[151] order5big_1201: THEOREM (60.2s)  running={'LINEAR': 80, 'THEOREM': 62, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[152] order5big_1209: THEOREM (60.2s)  running={'LINEAR': 80, 'THEOREM': 63, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[153] order5big_1217: THEOREM (61.2s)  running={'LINEAR': 80, 'THEOREM': 64, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[154] order5big_1225: LINEAR (0.0s)  running={'LINEAR': 81, 'THEOREM': 64, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[155] order5big_1233: THEOREM (60.3s)  running={'LINEAR': 81, 'THEOREM': 65, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[156] order5big_1241: THEOREM (60.2s)  running={'LINEAR': 81, 'THEOREM': 66, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[157] order5big_1249: LINEAR (0.0s)  running={'LINEAR': 82, 'THEOREM': 66, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[158] order5big_1257: LINEAR (0.0s)  running={'LINEAR': 83, 'THEOREM': 66, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[159] order5big_1265: LINEAR (0.0s)  running={'LINEAR': 84, 'THEOREM': 66, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[160] order5big_1273: LINEAR (0.0s)  running={'LINEAR': 85, 'THEOREM': 66, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[161] order5big_1281: THEOREM (60.2s)  running={'LINEAR': 85, 'THEOREM': 67, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[162] order5big_1289: LINEAR (0.0s)  running={'LINEAR': 86, 'THEOREM': 67, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[163] order5big_1297: THEOREM (60.2s)  running={'LINEAR': 86, 'THEOREM': 68, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[164] order5big_1305: THEOREM (60.2s)  running={'LINEAR': 86, 'THEOREM': 69, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[165] order5big_1313: LINEAR (0.0s)  running={'LINEAR': 87, 'THEOREM': 69, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[166] order5big_1321: LINEAR (0.0s)  running={'LINEAR': 88, 'THEOREM': 69, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[167] order5big_1329: LINEAR (0.0s)  running={'LINEAR': 89, 'THEOREM': 69, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[168] order5big_1337: THEOREM (60.6s)  running={'LINEAR': 89, 'THEOREM': 70, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[169] order5big_1345: THEOREM (60.2s)  running={'LINEAR': 89, 'THEOREM': 71, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[170] order5big_1353: LINEAR (0.0s)  running={'LINEAR': 90, 'THEOREM': 71, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[171] order5big_1361: THEOREM (60.2s)  running={'LINEAR': 90, 'THEOREM': 72, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[172] order5big_1369: SOLVED_FMB (0.1s)  running={'LINEAR': 90, 'THEOREM': 72, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[173] order5big_1377: THEOREM (60.2s)  running={'LINEAR': 90, 'THEOREM': 73, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[174] order5big_1385: THEOREM (60.7s)  running={'LINEAR': 90, 'THEOREM': 74, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[175] order5big_1393: LINEAR (0.0s)  running={'LINEAR': 91, 'THEOREM': 74, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[176] order5big_1401: THEOREM (60.6s)  running={'LINEAR': 91, 'THEOREM': 75, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[177] order5big_1409: LINEAR (0.0s)  running={'LINEAR': 92, 'THEOREM': 75, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[178] order5big_1417: LINEAR (0.0s)  running={'LINEAR': 93, 'THEOREM': 75, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[179] order5big_1425: THEOREM (60.4s)  running={'LINEAR': 93, 'THEOREM': 76, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[180] order5big_1433: THEOREM (60.4s)  running={'LINEAR': 93, 'THEOREM': 77, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[181] order5big_1441: THEOREM (60.2s)  running={'LINEAR': 93, 'THEOREM': 78, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[182] order5big_1449: LINEAR (0.0s)  running={'LINEAR': 94, 'THEOREM': 78, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[183] order5big_1457: LINEAR (0.0s)  running={'LINEAR': 95, 'THEOREM': 78, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[184] order5big_1465: LINEAR (0.0s)  running={'LINEAR': 96, 'THEOREM': 78, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
[185] order5big_1473: LINEAR (0.0s)  running={'LINEAR': 97, 'THEOREM': 78, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 9}
